exp_ID;Workload Level;Block Size;Block Creation Interval;TFL;TPS;Number of Validating Nodes;first_block;last_block;number_of_blocks;total_number_of_blocks_per_exp;BPR;Gini;HHI
tezosExp_1;10;2492646;116;72.58;1.51;37;19;20;2;21;11.9538804421728;1.28703022100924E-05;344.827586387684
tezosExp_1;25;2492646;116;61.55;3.78;37;55;56;2;21;11.9538804421728;1.28703022100924E-05;344.827586387684
tezosExp_1;40;2492646;116;66.18;6.05;37;24;25;2;21;11.9538804421728;1.28703022100924E-05;344.827586387684
tezosExp_1;55;2492646;116;62.71;8.32;37;44;45;2;21;11.9538804421728;1.28703022100924E-05;344.827586387684
tezosExp_1;70;2492646;116;60.5;10.59;37;34;35;2;21;11.9538804421728;1.28703022100924E-05;344.827586387684
tezosExp_1;85;2492646;116;58.92;12.86;37;61;62;2;21;11.9538804421728;1.28703022100924E-05;344.827586387684
tezosExp_1;90;2492646;116;59.92;13.61;37;39;40;2;21;11.9538804421728;1.28703022100924E-05;344.827586387684
tezosExp_1;95;2492646;116;60.75;14.37;37;29;30;2;21;11.9538804421728;1.28703022100924E-05;344.827586387684
tezosExp_1;100;2492646;116;60.31;14.8;37;50;51;2;21;11.9538804421728;1.28703022100924E-05;344.827586387684
tezosExp_1;105;2492646;116;59.52;10.1;37;66;68;3;21;14.8388760165902;1.28703022100924E-05;344.827586387684
tezosExp_10;10;3933591;42;22.63;6.6;24;32;33;2;22;7.54785080429956;1.81024927165436E-05;416.666667141122
tezosExp_10;25;3933591;42;22.08;16.48;24;126;127;2;22;7.54785080429956;1.81024927165436E-05;416.666667141122
tezosExp_10;40;3933591;42;21.88;17.59;24;70;72;3;22;9.40735347681646;1.81024927165436E-05;416.666667141122
tezosExp_10;55;3933591;42;21.83;36.26;24;44;46;3;22;9.40735347681646;1.81024927165436E-05;416.666667141122
tezosExp_10;70;3933591;42;21.78;30.78;24;110;111;2;22;7.54785080429956;1.81024927165436E-05;416.666667141122
tezosExp_10;85;3933591;42;21.75;56.05;24;141;142;2;22;7.54785080429956;1.81024927165436E-05;416.666667141122
tezosExp_10;90;3933591;42;21.44;58.62;24;97;98;2;22;7.54785080429956;1.81024927165436E-05;416.666667141122
tezosExp_10;95;3933591;42;21.25;61.65;24;19;20;2;22;7.54785080429956;1.81024927165436E-05;416.666667141122
tezosExp_10;100;3933591;42;19.88;60.58;24;58;59;2;22;7.54785080429956;1.81024927165436E-05;416.666667141122
tezosExp_10;105;3933591;42;20.71;62.23;24;84;85;2;22;7.54785080429956;1.81024927165436E-05;416.666667141122
tezosExp_100;10;4607119;105;64.84;3.09;20;66;68;3;21;8.02101406302173;7.57450969442766E-06;500.00000008978
tezosExp_100;25;4607119;105;54.63;7.72;20;60;61;2;21;6.46155699576907;7.57450969442766E-06;500.00000008978
tezosExp_100;40;4607119;105;55.44;12.35;20;50;51;2;21;6.46155699576907;7.57450969442766E-06;500.00000008978
tezosExp_100;55;4607119;105;52.86;16.99;20;28;29;2;21;6.46155699576907;7.57450969442766E-06;500.00000008978
tezosExp_100;70;4607119;105;53.72;21.63;20;44;45;2;21;6.46155699576907;7.57450969442766E-06;500.00000008978
tezosExp_100;85;4607119;105;54.25;26.26;20;72;73;2;21;6.46155699576907;7.57450969442766E-06;500.00000008978
tezosExp_100;90;4607119;105;53.19;27.81;20;33;34;2;21;6.46155699576907;7.57450969442766E-06;500.00000008978
tezosExp_100;95;4607119;105;53.94;29.35;20;39;40;2;21;6.46155699576907;7.57450969442766E-06;500.00000008978
tezosExp_100;100;4607119;105;50.22;19.43;20;55;56;2;21;6.46155699576907;7.57450969442766E-06;500.00000008978
tezosExp_100;105;4607119;105;53.48;30.7;20;23;24;2;21;6.46155699576907;7.57450969442766E-06;500.00000008978
tezosExp_1000;10;7052673;105;55.72;4.72;94;18;19;2;26;26.757025654251;1.88772731800154E-05;217.391304633578
tezosExp_1000;25;7052673;105;53.6;11.82;94;28;29;2;26;26.757025654251;1.88772731800154E-05;217.391304633578
tezosExp_1000;40;7052673;105;53.06;18.91;94;13;14;2;26;26.757025654251;1.88772731800154E-05;217.391304633578
tezosExp_1000;55;7052673;105;54.75;26.01;94;63;65;3;26;33.7909452043239;1.88772731800154E-05;217.391304633578
tezosExp_1000;70;7052673;105;55.29;19.78;94;51;53;3;26;33.7909452043239;1.88772731800154E-05;217.391304633578
tezosExp_1000;85;7052673;105;67.71;18.81;94;39;41;3;26;33.7909452043239;1.88772731800154E-05;217.391304633578
tezosExp_1000;90;7052673;105;68.95;20.07;94;57;59;3;26;33.7909452043239;1.88772731800154E-05;217.391304633578
tezosExp_1000;95;7052673;105;72.74;23.79;94;33;35;3;26;33.7909452043239;1.88772731800154E-05;217.391304633578
tezosExp_1000;100;7052673;105;77.84;24.44;94;45;47;3;26;33.7909452043239;1.88772731800154E-05;217.391304633578
tezosExp_1000;105;7052673;105;82.5;25.57;94;23;24;2;26;26.757025654251;1.88772731800154E-05;217.391304633578
tezosExp_1001;10;2827085;105;55.58;1.9;88;21;22;2;20;29.2329672350088;1.38120297222898E-05;243.902439247385
tezosExp_1001;25;2827085;105;55.62;4.73;88;11;12;2;20;29.2329672350088;1.38120297222898E-05;243.902439247385
tezosExp_1001;40;2827085;105;55.57;7.58;88;51;52;2;20;29.2329672350088;1.38120297222898E-05;243.902439247385
tezosExp_1001;55;2827085;105;55.6;10.42;88;41;42;2;20;29.2329672350088;1.38120297222898E-05;243.902439247385
tezosExp_1001;70;2827085;105;55.57;13.27;88;26;27;2;20;29.2329672350088;1.38120297222898E-05;243.902439247385
tezosExp_1001;85;2827085;105;55.56;16.11;88;56;57;2;20;29.2329672350088;1.38120297222898E-05;243.902439247385
tezosExp_1001;90;2827085;105;54.18;16.38;88;31;32;2;20;29.2329672350088;1.38120297222898E-05;243.902439247385
tezosExp_1001;95;2827085;105;52.82;16.76;88;46;47;2;20;29.2329672350088;1.38120297222898E-05;243.902439247385
tezosExp_1001;100;2827085;105;48.68;17.23;88;36;37;2;20;29.2329672350088;1.38120297222898E-05;243.902439247385
tezosExp_1001;105;2827085;105;50.06;17.6;88;16;17;2;20;29.2329672350088;1.38120297222898E-05;243.902439247385
tezosExp_1002;10;2998311;19;10.66;11.11;61;18;19;2;27;16.9665287134794;1.79646760711511E-05;227.27272753081
tezosExp_1002;25;2998311;19;10.05;27.74;61;24;25;2;27;16.9665287134794;1.79646760711511E-05;227.27272753081
tezosExp_1002;40;2998311;19;10.08;44.42;61;42;43;2;27;16.9665287134794;1.79646760711511E-05;227.27272753081
tezosExp_1002;55;2998311;19;10.08;40.74;61;76;78;3;27;21.4850472319979;1.79646760711511E-05;227.27272753081
tezosExp_1002;70;2998311;19;9.99;77.74;61;48;50;3;27;21.4850472319979;1.79646760711511E-05;227.27272753081
tezosExp_1002;85;2998311;19;9.68;53.02;61;69;71;3;27;21.4850472319979;1.79646760711511E-05;227.27272753081
tezosExp_1002;90;2998311;19;9.61;49.56;61;30;31;2;27;16.9665287134794;1.79646760711511E-05;227.27272753081
tezosExp_1002;95;2998311;19;9.26;40.43;61;61;64;4;27;24.8960203899217;1.79646760711511E-05;227.27272753081
tezosExp_1002;100;2998311;19;9.56;56.18;61;55;57;3;27;21.4850472319979;1.79646760711511E-05;227.27272753081
tezosExp_1002;105;2998311;19;10.05;54.32;61;35;37;3;27;21.4850472319979;1.79646760711511E-05;227.27272753081
tezosExp_1003;10;2922356;102;68.18;2.01;124;12;13;2;20;41.1919083766033;1.98399146002707E-05;204.081632969156
tezosExp_1003;25;2922356;102;59.5;5.04;124;27;28;2;20;41.1919083766033;1.98399146002707E-05;204.081632969156
tezosExp_1003;40;2922356;102;56.61;8.07;124;47;48;2;20;41.1919083766033;1.98399146002707E-05;204.081632969156
tezosExp_1003;55;2922356;102;55.21;11.09;124;37;38;2;20;41.1919083766033;1.98399146002707E-05;204.081632969156
tezosExp_1003;70;2922356;102;54.32;14.12;124;17;18;2;20;41.1919083766033;1.98399146002707E-05;204.081632969156
tezosExp_1003;85;2922356;102;52.02;16;124;32;33;2;20;41.1919083766033;1.98399146002707E-05;204.081632969156
tezosExp_1003;90;2922356;102;50.36;16.23;124;57;58;2;20;41.1919083766033;1.98399146002707E-05;204.081632969156
tezosExp_1003;95;2922356;102;49.2;16.85;124;42;43;2;20;41.1919083766033;1.98399146002707E-05;204.081632969156
tezosExp_1003;100;2922356;102;45.89;15.97;124;22;23;2;20;41.1919083766033;1.98399146002707E-05;204.081632969156
tezosExp_1003;105;2922356;102;48.27;17.32;124;52;53;2;20;41.1919083766033;1.98399146002707E-05;204.081632969156
tezosExp_1004;10;5446216;23;12.18;16.65;74;70;75;6;49;27.4532208258563;2.17098843208063E-05;200.000000328526
tezosExp_1004;25;5446216;23;12.04;27.77;74;31;33;3;49;18.2572226578261;2.17098843208063E-05;200.000000328526
tezosExp_1004;40;5446216;23;12.32;44.46;74;26;27;2;49;13.9383072842663;2.17098843208063E-05;200.000000328526
tezosExp_1004;55;5446216;23;40.43;28.4;74;59;65;7;49;29.6777520331804;2.17098843208063E-05;200.000000328526
